time,CSC_count,PC_count,mean_nutrient
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.662892693407189704e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.407588524612596093e+00
8.604469333314886725e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.961503951572963755e+00
1.411190430282173836e+01,1.000000000000000000e+00,1.000000000000000000e+00,6.953483425286285637e+02
2.977283067559232421e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.227259790108203125e+10
3.179055650774266084e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.498441305258318176e+11
3.428023623585894342e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.938859561181024414e+12
1.151982847835496671e+02,1.000000000000000000e+00,0.000000000000000000e+00,3.356323034517704824e+53
1.154699195309691504e+02,1.000000000000000000e+00,0.000000000000000000e+00,3.642655965417086440e+53
1.627615296758517616e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.837420219870774376e+77
1.927469014504218023e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.051939605190309009e+92
2.046692356031442159e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.309304283152565243e+98
2.060356796433732711e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.841063497671655975e+99
2.070190488620796430e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.133145426160873480e+99
2.147758524081632743e+02,2.000000000000000000e+00,0.000000000000000000e+00,2.623025187451197434e+103
2.176882987749525284e+02,2.000000000000000000e+00,1.000000000000000000e+00,5.247036740863596562e+104
2.188156102335756827e+02,2.000000000000000000e+00,1.000000000000000000e+00,1.774567808872529338e+105
2.221154509569248887e+02,2.000000000000000000e+00,1.000000000000000000e+00,5.502629684138072330e+106
2.232626910637938238e+02,3.000000000000000000e+00,1.000000000000000000e+00,1.961438706231169061e+107
2.266199474973705321e+02,3.000000000000000000e+00,1.000000000000000000e+00,7.103315234274046913e+108
2.320538218785816298e+02,3.000000000000000000e+00,1.000000000000000000e+00,3.294034181099352548e+111
2.350121890722705302e+02,3.000000000000000000e+00,1.000000000000000000e+00,7.466940146733229847e+112
2.360180269167427412e+02,3.000000000000000000e+00,2.000000000000000000e+00,1.793721791809267808e+113
2.363057531174208066e+02,3.000000000000000000e+00,3.000000000000000000e+00,2.061571225484032732e+113
2.367789813584090268e+02,3.000000000000000000e+00,3.000000000000000000e+00,2.046488551373519069e+113
2.370790967680675578e+02,3.000000000000000000e+00,4.000000000000000000e+00,2.173690080286401481e+113
2.382344333158349059e+02,3.000000000000000000e+00,5.000000000000000000e+00,7.913147540932798045e+113
