time_h,CSC_count,PC_count,mean_nutrient
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.909377680124135113e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.823052965976033502e-01
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.739951342793139455e-01
4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.659570994298196656e-01
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.581601496786384953e-01
6.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.505823364708401169e-01
7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.432069076133822172e-01
8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.360204275207789637e-01
9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.290117401485872284e-01
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.221713419806367718e-01
1.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.154909767718115710e-01
1.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.089633599026114563e-01
1.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.025819831548769212e-01
1.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.963409718276742488e-01
1.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.902349772821795959e-01
1.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.842590942688128841e-01
1.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.784087960806723494e-01
1.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.726798828380928352e-01
1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.670684396368617541e-01
2.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.615708022466348481e-01
2.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.561835286724049920e-01
2.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.509033752505645865e-01
2.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.457272762888130568e-01
2.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.406523266320417020e-01
2.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.356757667272243228e-01
2.600000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.307839140052138971e-01
2.700000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.259854288843309078e-01
2.800000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.212779165629728872e-01
2.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.166590851461901224e-01
3.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.121267380033688754e-01
3.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.076787670875061886e-01
3.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.033131469951411141e-01
3.300000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.990279296567078804e-01
3.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.948212397278301422e-01
3.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.906912706666407997e-01
3.600000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.866362817590445422e-01
3.700000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.826545945765835954e-01
3.800000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.787445869482122474e-01
3.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.749046875610025031e-01
4.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.711333724638560483e-01
4.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.674291627659075576e-01
4.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.637906230160822485e-01
4.300000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.602163596859653483e-01
4.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.567050197358470287e-01
4.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.532552893907470404e-01
4.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,7.498658929057008260e-01
4.700000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,7.465300632244266099e-01
4.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,7.432521790678171536e-01
4.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,7.400255415932903702e-01
5.000000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,7.368545953428048412e-01
5.100000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.337327049451402017e-01
5.200000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.306588477183936226e-01
5.300000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.276375566700362674e-01
5.400000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.246678085394233637e-01
5.500000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.217486061855636903e-01
5.600000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.188789776653382591e-01
5.700000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.160579753359128663e-01
5.800000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.132846749491837945e-01
5.900000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.105581746935675236e-01
6.000000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.078775943578055063e-01
6.100000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.052420749274533884e-01
6.200000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.026507783987456790e-01
6.300000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,7.001028871194878711e-01
6.400000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.975976025629163635e-01
6.500000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.951341441788234654e-01
6.600000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.927117485226828020e-01
6.700000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.903296684575492836e-01
6.800000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.879871726060279302e-01
6.900000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.856835453012647408e-01
7.000000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.834180874778712500e-01
7.100000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.811901170016806395e-01
7.200000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.789989663687022725e-01
7.300000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.768439816786918639e-01
7.400000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.747245253360800721e-01
7.500000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,6.726399752121965392e-01
7.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,6.705897217199040528e-01
7.700000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,6.685676387548178390e-01
7.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.665787191751875174e-01
7.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.646168518603342568e-01
8.000000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.626870439935061974e-01
8.100000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.607887281217548203e-01
8.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.589213470648833670e-01
8.300000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.570843542320062847e-01
8.400000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.552772132580720887e-01
8.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.534993979359290384e-01
8.600000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.517503925089952466e-01
8.700000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.500296920812606016e-01
8.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.483368032514216228e-01
8.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.466712447438410782e-01
9.000000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.450325473917871699e-01
9.100000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.434202534986379618e-01
9.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.418339164316514411e-01
9.300000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.402731012822715506e-01
9.400000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.387373852260144202e-01
9.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.372263553717544271e-01
9.600000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.357396056719541999e-01
9.700000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.342767365479111685e-01
9.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.328373576452799298e-01
9.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,6.314210883253139617e-01
1.000000000000000000e+02,2.000000000000000000e+00,8.000000000000000000e+00,6.300275597641815661e-01
1.010000000000000000e+02,2.000000000000000000e+00,8.000000000000000000e+00,6.286564230107315465e-01
1.020000000000000000e+02,2.000000000000000000e+00,8.000000000000000000e+00,6.273073438432652527e-01
1.030000000000000000e+02,3.000000000000000000e+00,8.000000000000000000e+00,6.259799928571028182e-01
1.040000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.246685184461694407e-01
1.050000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.233726781135177086e-01
1.060000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.220978229742857302e-01
1.070000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.208435673384548048e-01
1.080000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.196096190201326737e-01
1.090000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.183961769585640811e-01
1.100000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.172027058500321184e-01
1.110000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.160280758086211783e-01
1.120000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.148720360782324867e-01
1.130000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.137346385630078061e-01
1.140000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.126155525773981925e-01
1.150000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.115143002770754288e-01
1.160000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.104312212874624111e-01
1.170000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.093662762744924688e-01
1.180000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.083182651906907656e-01
1.190000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.072863951494164025e-01
1.200000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.062706034694346213e-01
1.210000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.052705215743648948e-01
1.220000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.042860638732923118e-01
1.230000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.033172846157489611e-01
1.240000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.023639212337171811e-01
1.250000000000000000e+02,4.000000000000000000e+00,8.000000000000000000e+00,6.014259656925217135e-01
1.260000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+01,6.005033963945904940e-01
1.270000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+01,5.995842353370627320e-01
1.280000000000000000e+02,4.000000000000000000e+00,1.100000000000000000e+01,5.986789580062128469e-01
1.290000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.977819054696710266e-01
1.300000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.968930094237735462e-01
1.310000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.960178264094585510e-01
1.320000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.951563038285404561e-01
1.330000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.943083485703277713e-01
1.340000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.934739030142631711e-01
1.350000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.926524697534713004e-01
1.360000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.918437033565847605e-01
1.370000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.910474149908890862e-01
1.380000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.902636262832791081e-01
1.390000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.894923832954502840e-01
1.400000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.887332842098519370e-01
1.410000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.879862791488834617e-01
1.420000000000000000e+02,4.000000000000000000e+00,1.200000000000000000e+01,5.872511405953781960e-01
